n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre
Prrc1,0,1,null,0.4319003423055,null,up
Prl8a9 Prlpc2,0,1,null,0.725882212320961,null,up
Prl8a5 Prl8a4,0,1,null,0.541423797607422,null,up
Prl8a2 Dtprp,0,1,null,0.642865498860679,null,up
Prl6a1,0,1,null,1.20091279347738,null,up
Prl4a1,0,1,null,0.728912989298504,null,up
Prl3d4,0,1,null,0.478170077006023,null,up
Prkar2a,0,1,null,-0.305631637573242,null,down
Ppp2r1b,0,1,null,0.449621836344402,null,up
Ppl,0,1,null,-0.536751111348472,null,down
Ppid,0,1,null,-0.280876795450844,null,down
Ppib,0,1,null,0.269900957743324,null,up
Pon2,0,1,null,0.309591611226399,null,up
Plvap,0,1,null,-0.596940676371258,null,down
Pltp,0,1,null,0.479641596476235,null,up
Pls3,0,1,null,-0.495483716328938,null,down
Plod1,0,1,null,0.317357381184898,null,up
Plekha7,0,1,null,-0.365144093831379,null,down
Plcd1,0,1,null,-0.545750300089519,null,down
Pitrm1,0,1,null,0.424721399943035,null,up
Phgdh,0,1,null,0.626352945963543,null,up
Phactr4,0,1,null,-0.493619918823242,null,down
Pgm3,0,1,null,0.244724909464519,null,up
Pgm2,0,1,null,0.405833880106606,null,up
Pgm1,0,1,null,0.227841377258301,null,up
Pgk1 Pgk-1,0,1,null,0.241229693094891,null,up
Pecam1 Pecam,0,1,null,-0.673852920532227,null,down
Pdlim4 Ril,0,1,null,0.656123161315918,null,up
Pdia4,0,1,null,0.391155242919922,null,up
Pdia3,0,1,null,0.239742914835613,null,up
Pcmt1,0,1,null,-0.349007288614906,null,down
Pabir2 Fam122b,0,1,null,0.844100952148438,null,up
P4ha2,0,1,null,0.422188123067222,null,up
Orm1,0,1,null,2.13521099090576,null,up
Ocm,0,1,null,1.5697447458903,null,up
Obsl1,0,1,null,0.430661519368492,null,up
Nup62cl,0,1,null,-0.472537994384766,null,down
Nt5c3a Nt5c3,0,1,null,0.372714042663574,null,up
Npc2,0,1,null,0.774168968200684,null,up
Nostrin,0,1,null,0.491387367248535,null,up
Nmes1,0,1,null,0.373102188110352,null,up
Nln,0,1,null,0.308982849121094,null,up
Ngp,0,1,null,0.482401847839355,null,up
Naxd CARKD Carkd,0,1,null,0.507649421691895,null,up
Nars1 Nars,0,1,null,0.336496035257973,null,up
Nagk,0,1,null,0.532875378926594,null,up
Myo18a,0,1,null,-0.381493886311851,null,down
Mustn1,0,1,null,0.923221588134766,null,up
Mthfd1l,0,1,null,0.517587025960285,null,up
Mesd Mesdc2,0,1,null,0.241109530131023,null,up
Mcam Muc18,0,1,null,-0.687485059102379,null,down
Matr3,0,1,null,-0.299019177754719,null,down
Maoa,0,1,null,-0.503274917602539,null,down
Manf Armet,0,1,null,0.397263526916504,null,up
Man2a1 Mana2,0,1,null,0.335765202840168,null,up
Maged2,0,1,null,-0.558905919392906,null,down
Lzic,0,1,null,-0.487570444742836,null,down
Lta4h,0,1,null,-0.326579729715981,null,down
Lrrc59 Rbp34,0,1,null,0.262944221496582,null,up
Lrpap1,0,1,null,0.373658498128254,null,up
Loxl2,0,1,null,0.883295377095539,null,up
LOC102557319,0,1,null,0.881230354309082,null,up
LOC102557244,0,1,null,0.856166839599609,null,up
Lman2 rCG_24303,0,1,null,0.274321238199871,null,up
Lman1 Ergic53,0,1,null,0.27641773223877,null,up
Lipa,0,1,null,-1.19658629099528,null,down
Limd1,0,1,null,-0.704676946004231,null,down
Lima1 eplin,0,1,null,-0.313989003499348,null,down
Lgalsl,0,1,null,-0.365089098612469,null,down
Lgals5,0,1,null,2.09355640411377,null,up
Ldhb Ldh-2 Ldh2,0,1,null,-0.494077682495117,null,down
Lcp1,0,1,null,0.873259544372559,null,up
Lamp1 Lamp-1,0,1,null,0.304945309956871,null,up
Lama5,0,1,null,0.359951019287109,null,up
Lama1,0,1,null,-0.662303606669109,null,down
Lad1,0,1,null,-0.644825617472328,null,down
Krt7,0,1,null,0.402186393737793,null,up
Krt19 Ka19 Krt1-19,0,1,null,0.409868876139321,null,up
Klhl22,0,1,null,0.628682454427082,null,up
Kif2a Kif2,0,1,null,0.724155743916832,null,up
Kif13b,0,1,null,-0.345832824707031,null,down
Kdelr2,0,1,null,1.42763710021973,null,up
Jchain,0,1,null,0.940755208333332,null,up
Itsn1 Ehsh1 Itsn,0,1,null,-0.453583081563316,null,down
Itih1 Itih1_predicted rCG_42292,0,1,null,-0.509058952331543,null,down
Itgav,0,1,null,0.336935361226402,null,up
Itga6,0,1,null,-0.310735384623207,null,down
Itga2b,0,1,null,-0.484901746114094,null,down
Isg15,0,1,null,0.666049321492512,null,up
Inf2,0,1,null,0.229730923970539,null,up
Impact,0,1,null,-0.300268491109211,null,down
Ighm,0,1,null,1.21330801645914,null,up
Igfbp2 Igfbp-2,0,1,null,0.474363009134926,null,up
Igf2r,0,1,null,-0.410953839619953,null,down
Ifnk If1fa,0,1,null,1.29682699839274,null,up
Idh1,0,1,null,-0.325368881225586,null,down
Hyou1 rCG_58188,0,1,null,0.351110140482586,null,up
Htra2,0,1,null,-0.381801605224609,null,down
Hsph1 Hsp105 Hsp110,0,1,null,0.346824963887535,null,up
Hspe1,0,1,null,0.22215747833252,null,up
Hspa5 Grp78,0,1,null,0.279795328776039,null,up
Hspa12b,0,1,null,-0.512465476989746,null,down
Hsp90b1 Grp94 Tra1,0,1,null,0.389408429463703,null,up
Hsd17b11 Dhrs8,0,1,null,0.321569760640461,null,up
Hp,0,1,null,1.12529436747233,null,up
Hmox2,0,1,null,0.302878061930336,null,up
Hmox1,0,1,null,0.605992317199707,null,up
Hmgb3 LOC100912369 rCG_56793,0,1,null,-0.451086044311523,null,down
Hm13,0,1,null,0.413458824157715,null,up
Hk2,0,1,null,0.335087458292644,null,up
Hibadh,0,1,null,-0.402128855387371,null,down
Hdhd2 Ier3ip1 RGD1308579,0,1,null,0.328354517618813,null,up
Hadh Had Hadhsc Schad,0,1,null,-0.330688158671062,null,down
Gys1,0,1,null,0.545757293701172,null,up
Gstp1,0,1,null,0.90826416015625,null,up
Grn,0,1,null,1.0616938273112,null,up
Got1,0,1,null,0.288086255391441,null,up
Gne,0,1,null,0.406086285909016,null,up
Gnb4,0,1,null,1.05144182840983,null,up
Gmppb,0,1,null,0.325736681620278,null,up
Glg1,0,1,null,0.317036628723145,null,up
Gbe1,0,1,null,0.537608464558918,null,up
Gab1,0,1,null,-0.534382184346516,null,down
Foxo4,0,1,null,0.365559895833336,null,up
Fnta,0,1,null,0.399670600891113,null,up
Fndc3a,0,1,null,0.393661181131996,null,up
Fkbp5 rCG_60597,0,1,null,-0.319450378417969,null,down
Fbxw8,0,1,null,0.409964561462402,null,up
Fbln1,0,1,null,0.667681058247886,null,up
Fblim1,0,1,null,0.283003171284992,null,up
Fam136a,0,1,null,0.382568677266438,null,up
Etfdh ETFDH,0,1,null,-0.339080174764,null,down
Erp44,0,1,null,0.290556907653809,null,up
Erp29,0,1,null,0.351877212524414,null,up
Ero1a Ero1l Giig11,0,1,null,0.77391751607259,null,up
Eps8l2,0,1,null,-0.341313362121582,null,down
Epb41l3 Epb4.1l3,0,1,null,-0.507342020670571,null,down
ENSRNOG00000070933,0,1,null,0.923380533854168,null,up
Eml4,0,1,null,0.302175839742027,null,up
Eml2 Emap2,0,1,null,-0.320269902547203,null,down
Emb Gp70,0,1,null,-0.510801315307617,null,down
Eif2ak2,0,1,null,0.391997337341309,null,up
Efhd2 Sws1,0,1,null,0.338050842285156,null,up
Dpp3,0,1,null,0.301531791687012,null,up
Dpm1,0,1,null,0.376514116923016,null,up
Doxl1,0,1,null,1.95927715301514,null,up
Dnajc3 P58ipk,0,1,null,0.50469144185384,null,up
Dnajb1 Dnajb1_predicted rCG_51112,0,1,null,0.989777247111004,null,up
Dera,0,1,null,0.792321840922039,null,up
Ddah1 Ddah,0,1,null,-0.539126396179199,null,down
Dbnl Sh3p7,0,1,null,-0.311186472574867,null,down
Dag1,0,1,null,-0.305418332417808,null,down
Dad1,0,1,null,0.292736371358234,null,up
Cyp2s1,0,1,null,-0.537218411763508,null,down
Cul7,0,1,null,0.44118595123291,null,up
Cubn,0,1,null,1.50084177652995,null,up
Ctsr,0,1,null,-0.67357349395752,null,down
Ctsql2,0,1,null,-1.10683250427246,null,down
Ctsql1 Ctsq LOC100364523,0,1,null,-0.726680437723797,null,down
Ctsm,0,1,null,0.597711563110352,null,up
Ctla2a,0,1,null,0.635056813557942,null,up
Csrp2,0,1,null,-0.456192016601563,null,down
